Sample_Name	Image_Name	Morphant	Treatment	Location	X_coord	Y_coord
ConMO_DMSO_01	72hpf_DMSO_ConMO_01	ConMO	DMSO	A	-139	99
ConMO_DMSO_01	72hpf_DMSO_ConMO_01	ConMO	DMSO	B	127	88
ConMO_DMSO_01	72hpf_DMSO_ConMO_01	ConMO	DMSO	C	-238	-116
ConMO_DMSO_01	72hpf_DMSO_ConMO_01	ConMO	DMSO	D	201	-149
ConMO_DMSO_02	72hpf_DMSO_ConMO_02	ConMO	DMSO	A	-135	95
ConMO_DMSO_02	72hpf_DMSO_ConMO_02	ConMO	DMSO	B	140	80
ConMO_DMSO_02	72hpf_DMSO_ConMO_02	ConMO	DMSO	C	-226	-140
ConMO_DMSO_02	72hpf_DMSO_ConMO_02	ConMO	DMSO	D	209	-161
ConMO_DMSO_03	72hpf_DMSO_ConMO_03	ConMO	DMSO	A	-146	71
ConMO_DMSO_03	72hpf_DMSO_ConMO_03	ConMO	DMSO	B	125	99
ConMO_DMSO_03	72hpf_DMSO_ConMO_03	ConMO	DMSO	C	-208	-168
ConMO_DMSO_03	72hpf_DMSO_ConMO_03	ConMO	DMSO	D	218	-146
ConMO_DMSO_04	72hpf_DMSO_ConMO_04	ConMO	DMSO	A	-135	88
ConMO_DMSO_04	72hpf_DMSO_ConMO_04	ConMO	DMSO	B	153	92
ConMO_DMSO_04	72hpf_DMSO_ConMO_04	ConMO	DMSO	C	-213	-168
ConMO_DMSO_04	72hpf_DMSO_ConMO_04	ConMO	DMSO	D	220	-160
ConMO_DMSO_05	72hpf_DMSO_ConMO_05	ConMO	DMSO	A	-161	112
ConMO_DMSO_05	72hpf_DMSO_ConMO_05	ConMO	DMSO	B	160	110
ConMO_DMSO_05	72hpf_DMSO_ConMO_05	ConMO	DMSO	C	-245	-144
ConMO_DMSO_05	72hpf_DMSO_ConMO_05	ConMO	DMSO	D	237	-157
ConMO_DMSO_06	72hpf_DMSO_ConMO_06	ConMO	DMSO	A	-166	109
ConMO_DMSO_06	72hpf_DMSO_ConMO_06	ConMO	DMSO	B	132	90
ConMO_DMSO_06	72hpf_DMSO_ConMO_06	ConMO	DMSO	C	-254	-104
ConMO_DMSO_06	72hpf_DMSO_ConMO_06	ConMO	DMSO	D	207	-149
ConMO_DMSO_07	72hpf_DMSO_ConMO_08	ConMO	DMSO	A	-127	104
ConMO_DMSO_07	72hpf_DMSO_ConMO_08	ConMO	DMSO	B	157	95
ConMO_DMSO_07	72hpf_DMSO_ConMO_08	ConMO	DMSO	C	-209	-155
ConMO_DMSO_07	72hpf_DMSO_ConMO_08	ConMO	DMSO	D	209	-178
ConMO_DMSO_08	72hpf_DMSO_ConMO_10	ConMO	DMSO	A	-125	110
ConMO_DMSO_08	72hpf_DMSO_ConMO_10	ConMO	DMSO	B	157	91
ConMO_DMSO_08	72hpf_DMSO_ConMO_10	ConMO	DMSO	C	-217	-131
ConMO_DMSO_08	72hpf_DMSO_ConMO_10	ConMO	DMSO	D	209	-151
ConMO_DMSO_09	72hpf_DMSO_ConMO_13	ConMO	DMSO	A	-151	114
ConMO_DMSO_09	72hpf_DMSO_ConMO_13	ConMO	DMSO	B	142	99
ConMO_DMSO_09	72hpf_DMSO_ConMO_13	ConMO	DMSO	C	-233	-149
ConMO_DMSO_09	72hpf_DMSO_ConMO_13	ConMO	DMSO	D	206	-166
SlincRMO_DMSO_1	72hpf_DMSO_slincRMO_01	SlincR_MO	DMSO	A	-144	121
SlincRMO_DMSO_1	72hpf_DMSO_slincRMO_01	SlincR_MO	DMSO	B	140	112
SlincRMO_DMSO_1	72hpf_DMSO_slincRMO_01	SlincR_MO	DMSO	C	-243	-137
SlincRMO_DMSO_1	72hpf_DMSO_slincRMO_01	SlincR_MO	DMSO	D	226	-146
SlincRMO_DMSO_2	72hpf_DMSO_slincRMO_02	SlincR_MO	DMSO	A	-138	105
SlincRMO_DMSO_2	72hpf_DMSO_slincRMO_02	SlincR_MO	DMSO	B	135	95
SlincRMO_DMSO_2	72hpf_DMSO_slincRMO_02	SlincR_MO	DMSO	C	-226	-129
SlincRMO_DMSO_2	72hpf_DMSO_slincRMO_02	SlincR_MO	DMSO	D	215	-140
SlincRMO_DMSO_3	72hpf_DMSO_slincRMO_03	SlincR_MO	DMSO	A	-133	95
SlincRMO_DMSO_3	72hpf_DMSO_slincRMO_03	SlincR_MO	DMSO	B	151	97
SlincRMO_DMSO_3	72hpf_DMSO_slincRMO_03	SlincR_MO	DMSO	C	-219	-157
SlincRMO_DMSO_3	72hpf_DMSO_slincRMO_03	SlincR_MO	DMSO	D	222	-144
SlincRMO_DMSO_4	72hpf_DMSO_slincRMO_07	SlincR_MO	DMSO	A	-131	119
SlincRMO_DMSO_4	72hpf_DMSO_slincRMO_07	SlincR_MO	DMSO	B	160	108
SlincRMO_DMSO_4	72hpf_DMSO_slincRMO_07	SlincR_MO	DMSO	C	-223	-142
SlincRMO_DMSO_4	72hpf_DMSO_slincRMO_07	SlincR_MO	DMSO	D	218	-151
SlincRMO_DMSO_5	72hpf_DMSO_slincRMO_08	SlincR_MO	DMSO	A	-127	106
SlincRMO_DMSO_5	72hpf_DMSO_slincRMO_08	SlincR_MO	DMSO	B	129	95
SlincRMO_DMSO_5	72hpf_DMSO_slincRMO_08	SlincR_MO	DMSO	C	-222	-155
SlincRMO_DMSO_5	72hpf_DMSO_slincRMO_08	SlincR_MO	DMSO	D	213	-179
SlincRMO_DMSO_6	72hpf_DMSO_slincRMO_09	SlincR_MO	DMSO	A	-142	114
SlincRMO_DMSO_6	72hpf_DMSO_slincRMO_09	SlincR_MO	DMSO	B	134	123
SlincRMO_DMSO_6	72hpf_DMSO_slincRMO_09	SlincR_MO	DMSO	C	-224	-118
SlincRMO_DMSO_6	72hpf_DMSO_slincRMO_09	SlincR_MO	DMSO	D	215	-94
SlincRMO_DMSO_7	72hpf_DMSO_slincRMO_11	SlincR_MO	DMSO	A	-150	101
SlincRMO_DMSO_7	72hpf_DMSO_slincRMO_11	SlincR_MO	DMSO	B	138	97
SlincRMO_DMSO_7	72hpf_DMSO_slincRMO_11	SlincR_MO	DMSO	C	-217	-159
SlincRMO_DMSO_7	72hpf_DMSO_slincRMO_11	SlincR_MO	DMSO	D	205	-164
SlincRMO_DMSO_8	72hpf_DMSO_slincRMO_12	SlincR_MO	DMSO	A	-138	127
SlincRMO_DMSO_8	72hpf_DMSO_slincRMO_12	SlincR_MO	DMSO	B	136	125
SlincRMO_DMSO_8	72hpf_DMSO_slincRMO_12	SlincR_MO	DMSO	C	-219	-148
SlincRMO_DMSO_8	72hpf_DMSO_slincRMO_12	SlincR_MO	DMSO	D	207	-135
SlincRMO_DMSO_9	72hpf_DMSO_slincRMO_13	SlincR_MO	DMSO	A	-112	88
SlincRMO_DMSO_9	72hpf_DMSO_slincRMO_13	SlincR_MO	DMSO	B	135	101
SlincRMO_DMSO_9	72hpf_DMSO_slincRMO_13	SlincR_MO	DMSO	C	-196	-148
SlincRMO_DMSO_9	72hpf_DMSO_slincRMO_13	SlincR_MO	DMSO	D	211	-153
SlincRMO_DMSO_10	72hpf_DMSO_slincRMO_06	SlincR_MO	DMSO	A	-137	99
SlincRMO_DMSO_10	72hpf_DMSO_slincRMO_06	SlincR_MO	DMSO	B	125	94
SlincRMO_DMSO_10	72hpf_DMSO_slincRMO_06	SlincR_MO	DMSO	C	-221	-166
SlincRMO_DMSO_10	72hpf_DMSO_slincRMO_06	SlincR_MO	DMSO	D	218	-160
ConMO_TCDD_01	72hpf_1ngTCDD_ConMO_01	ConMO	TCDD	A	-103	124
ConMO_TCDD_01	72hpf_1ngTCDD_ConMO_01	ConMO	TCDD	B	115	118
ConMO_TCDD_01	72hpf_1ngTCDD_ConMO_01	ConMO	TCDD	C	-165	-32
